order_item_id,created_at,order_id,product_id,is_primary_item,price_usd,cogs_usd
1,3/19/2012 10:42,1,1,1,49.99,19.49
2,3/19/2012 19:27,2,1,1,49.99,19.49
3,3/20/2012 6:44,3,1,1,49.99,19.49
4,3/20/2012 9:41,4,1,1,49.99,19.49
5,3/20/2012 11:28,5,1,1,49.99,19.49
6,3/20/2012 16:12,6,1,1,49.99,19.49
7,3/20/2012 17:03,7,1,1,49.99,19.49
8,3/20/2012 23:35,8,1,1,49.99,19.49
9,3/21/2012 2:35,9,1,1,49.99,19.49
10,3/21/2012 6:45,10,1,1,49.99,19.49
11,3/21/2012 7:28,11,1,1,49.99,19.49
12,3/21/2012 8:21,12,1,1,49.99,19.49
13,3/21/2012 8:45,13,1,1,49.99,19.49
14,3/21/2012 9:12,14,1,1,49.99,19.49
15,3/21/2012 16:40,15,1,1,49.99,19.49
16,3/21/2012 17:13,16,1,1,49.99,19.49
17,3/21/2012 20:28,17,1,1,49.99,19.49
18,3/22/2012 6:15,18,1,1,49.99,19.49
19,3/22/2012 10:03,19,1,1,49.99,19.49
20,3/22/2012 17:49,20,1,1,49.99,19.49
21,3/22/2012 20:33,21,1,1,49.99,19.49
22,3/23/2012 12:09,22,1,1,49.99,19.49
23,3/23/2012 14:16,23,1,1,49.99,19.49
24,3/23/2012 17:14,24,1,1,49.99,19.49
25,3/24/2012 9:21,25,1,1,49.99,19.49
26,3/25/2012 8:32,26,1,1,49.99,19.49
27,3/25/2012 8:51,27,1,1,49.99,19.49
28,3/25/2012 16:00,28,1,1,49.99,19.49
29,3/25/2012 21:23,29,1,1,49.99,19.49
30,3/26/2012 10:03,30,1,1,49.99,19.49
31,3/26/2012 10:25,31,1,1,49.99,19.49
32,3/26/2012 14:13,32,1,1,49.99,19.49
33,3/26/2012 16:00,33,1,1,49.99,19.49
34,3/26/2012 17:55,34,1,1,49.99,19.49
35,3/26/2012 18:06,35,1,1,49.99,19.49
36,3/26/2012 18:54,36,1,1,49.99,19.49
37,3/26/2012 19:19,37,1,1,49.99,19.49
38,3/26/2012 21:13,38,1,1,49.99,19.49
39,3/27/2012 15:18,39,1,1,49.99,19.49
40,3/27/2012 16:53,40,1,1,49.99,19.49
41,3/28/2012 8:30,41,1,1,49.99,19.49
42,3/28/2012 9:56,42,1,1,49.99,19.49
43,3/28/2012 16:55,43,1,1,49.99,19.49
44,3/28/2012 21:24,44,1,1,49.99,19.49
45,3/28/2012 22:45,45,1,1,49.99,19.49
46,3/29/2012 16:11,46,1,1,49.99,19.49
47,3/29/2012 17:49,47,1,1,49.99,19.49
48,3/29/2012 23:09,48,1,1,49.99,19.49
49,3/30/2012 0:25,49,1,1,49.99,19.49
50,3/30/2012 2:27,50,1,1,49.99,19.49
51,3/30/2012 10:06,51,1,1,49.99,19.49
52,3/30/2012 10:24,52,1,1,49.99,19.49
53,3/30/2012 12:47,53,1,1,49.99,19.49
54,3/30/2012 14:26,54,1,1,49.99,19.49
55,3/30/2012 14:39,55,1,1,49.99,19.49
56,3/31/2012 0:22,56,1,1,49.99,19.49
57,3/31/2012 2:32,57,1,1,49.99,19.49
58,3/31/2012 6:40,58,1,1,49.99,19.49
59,3/31/2012 10:25,59,1,1,49.99,19.49
60,3/31/2012 19:24,60,1,1,49.99,19.49
61,4/1/2012 6:45,61,1,1,49.99,19.49
62,4/1/2012 12:38,62,1,1,49.99,19.49
63,4/1/2012 17:33,63,1,1,49.99,19.49
64,4/1/2012 18:26,64,1,1,49.99,19.49
65,4/2/2012 11:07,65,1,1,49.99,19.49
66,4/2/2012 16:32,66,1,1,49.99,19.49
67,4/2/2012 17:17,67,1,1,49.99,19.49
68,4/2/2012 18:36,68,1,1,49.99,19.49
69,4/3/2012 10:29,69,1,1,49.99,19.49
70,4/3/2012 11:53,70,1,1,49.99,19.49
71,4/3/2012 15:03,71,1,1,49.99,19.49
72,4/3/2012 16:31,72,1,1,49.99,19.49
73,4/3/2012 16:36,73,1,1,49.99,19.49
74,4/3/2012 19:09,74,1,1,49.99,19.49
75,4/4/2012 7:47,75,1,1,49.99,19.49
76,4/4/2012 11:13,76,1,1,49.99,19.49
77,4/4/2012 11:34,77,1,1,49.99,19.49
78,4/4/2012 18:21,78,1,1,49.99,19.49
79,4/4/2012 19:00,79,1,1,49.99,19.49
80,4/5/2012 10:34,80,1,1,49.99,19.49
81,4/5/2012 13:15,81,1,1,49.99,19.49
82,4/5/2012 20:11,82,1,1,49.99,19.49
83,4/6/2012 4:04,83,1,1,49.99,19.49
84,4/6/2012 12:16,84,1,1,49.99,19.49
85,4/6/2012 17:13,85,1,1,49.99,19.49
86,4/6/2012 22:48,86,1,1,49.99,19.49
87,4/7/2012 4:47,87,1,1,49.99,19.49
88,4/7/2012 16:15,88,1,1,49.99,19.49
89,4/7/2012 16:55,89,1,1,49.99,19.49
90,4/8/2012 2:25,90,1,1,49.99,19.49
91,4/8/2012 5:52,91,1,1,49.99,19.49
92,4/8/2012 20:50,92,1,1,49.99,19.49
93,4/8/2012 21:10,93,1,1,49.99,19.49
94,4/8/2012 22:33,94,1,1,49.99,19.49
95,4/9/2012 9:49,95,1,1,49.99,19.49
96,4/9/2012 9:50,96,1,1,49.99,19.49
97,4/9/2012 11:25,97,1,1,49.99,19.49
98,4/9/2012 15:01,98,1,1,49.99,19.49
99,4/9/2012 19:48,99,1,1,49.99,19.49
100,4/9/2012 20:28,100,1,1,49.99,19.49
101,4/9/2012 22:56,101,1,1,49.99,19.49
102,4/9/2012 23:25,102,1,1,49.99,19.49
103,4/10/2012 14:21,103,1,1,49.99,19.49
104,4/10/2012 16:40,104,1,1,49.99,19.49
105,4/10/2012 22:27,105,1,1,49.99,19.49
106,4/11/2012 14:13,106,1,1,49.99,19.49
107,4/11/2012 15:22,107,1,1,49.99,19.49
108,4/11/2012 16:38,108,1,1,49.99,19.49
109,4/11/2012 20:19,109,1,1,49.99,19.49
110,4/11/2012 21:59,110,1,1,49.99,19.49
111,4/12/2012 10:03,111,1,1,49.99,19.49
112,4/12/2012 10:51,112,1,1,49.99,19.49
113,4/12/2012 13:30,113,1,1,49.99,19.49
114,4/12/2012 15:50,114,1,1,49.99,19.49
115,4/13/2012 2:13,115,1,1,49.99,19.49
116,4/13/2012 14:53,116,1,1,49.99,19.49
117,4/14/2012 23:26,117,1,1,49.99,19.49
118,4/15/2012 9:00,118,1,1,49.99,19.49
119,4/15/2012 13:20,119,1,1,49.99,19.49
120,4/15/2012 15:10,120,1,1,49.99,19.49
121,4/15/2012 16:36,121,1,1,49.99,19.49
122,4/16/2012 13:22,122,1,1,49.99,19.49
123,4/16/2012 14:54,123,1,1,49.99,19.49
124,4/16/2012 15:03,124,1,1,49.99,19.49
125,4/16/2012 17:59,125,1,1,49.99,19.49
126,4/16/2012 19:33,126,1,1,49.99,19.49
127,4/17/2012 19:20,127,1,1,49.99,19.49
128,4/18/2012 10:28,128,1,1,49.99,19.49
129,4/18/2012 12:10,129,1,1,49.99,19.49
130,4/18/2012 18:51,130,1,1,49.99,19.49
131,4/18/2012 19:59,131,1,1,49.99,19.49
132,4/19/2012 7:42,132,1,1,49.99,19.49
133,4/19/2012 13:21,133,1,1,49.99,19.49
134,4/19/2012 14:19,134,1,1,49.99,19.49
135,4/19/2012 14:20,135,1,1,49.99,19.49
136,4/19/2012 19:02,136,1,1,49.99,19.49
137,4/19/2012 21:50,137,1,1,49.99,19.49
138,4/20/2012 14:02,138,1,1,49.99,19.49
139,4/21/2012 17:39,139,1,1,49.99,19.49
140,4/22/2012 11:01,140,1,1,49.99,19.49
141,4/22/2012 16:58,141,1,1,49.99,19.49
142,4/22/2012 21:22,142,1,1,49.99,19.49
143,4/23/2012 11:07,143,1,1,49.99,19.49
144,4/23/2012 11:27,144,1,1,49.99,19.49
145,4/23/2012 12:31,145,1,1,49.99,19.49
146,4/23/2012 17:12,146,1,1,49.99,19.49
147,4/23/2012 20:59,147,1,1,49.99,19.49
148,4/23/2012 22:39,148,1,1,49.99,19.49
149,4/23/2012 22:57,149,1,1,49.99,19.49
150,4/24/2012 19:22,150,1,1,49.99,19.49
151,4/24/2012 23:13,151,1,1,49.99,19.49
152,4/25/2012 21:05,152,1,1,49.99,19.49
153,4/26/2012 15:35,153,1,1,49.99,19.49
154,4/26/2012 17:43,154,1,1,49.99,19.49
155,4/26/2012 22:22,155,1,1,49.99,19.49
156,4/27/2012 1:22,156,1,1,49.99,19.49
157,4/27/2012 19:42,157,1,1,49.99,19.49
158,4/29/2012 16:58,158,1,1,49.99,19.49
159,4/30/2012 12:14,159,1,1,49.99,19.49
160,5/1/2012 3:50,160,1,1,49.99,19.49
161,5/1/2012 10:34,161,1,1,49.99,19.49
162,5/1/2012 11:20,162,1,1,49.99,19.49
163,5/1/2012 12:10,163,1,1,49.99,19.49
164,5/1/2012 16:25,164,1,1,49.99,19.49
165,5/2/2012 11:50,165,1,1,49.99,19.49
166,5/2/2012 12:56,166,1,1,49.99,19.49
167,5/2/2012 17:15,167,1,1,49.99,19.49
168,5/2/2012 17:24,168,1,1,49.99,19.49
169,5/3/2012 9:03,169,1,1,49.99,19.49
170,5/3/2012 9:40,170,1,1,49.99,19.49
171,5/3/2012 15:19,171,1,1,49.99,19.49
172,5/3/2012 16:24,172,1,1,49.99,19.49
173,5/3/2012 23:52,173,1,1,49.99,19.49
174,5/4/2012 5:22,174,1,1,49.99,19.49
175,5/4/2012 10:24,175,1,1,49.99,19.49
176,5/4/2012 16:56,176,1,1,49.99,19.49
177,5/8/2012 15:59,177,1,1,49.99,19.49
178,5/8/2012 16:18,178,1,1,49.99,19.49
179,5/9/2012 1:00,179,1,1,49.99,19.49
180,5/9/2012 1:40,180,1,1,49.99,19.49
181,5/9/2012 9:04,181,1,1,49.99,19.49
182,5/9/2012 10:16,182,1,1,49.99,19.49
183,5/9/2012 13:36,183,1,1,49.99,19.49
184,5/9/2012 14:59,184,1,1,49.99,19.49
185,5/9/2012 17:01,185,1,1,49.99,19.49
186,5/9/2012 17:41,186,1,1,49.99,19.49
187,5/10/2012 9:54,187,1,1,49.99,19.49
188,5/10/2012 18:45,188,1,1,49.99,19.49
189,5/10/2012 21:29,189,1,1,49.99,19.49
190,5/11/2012 11:10,190,1,1,49.99,19.49
191,5/11/2012 15:06,191,1,1,49.99,19.49
192,5/11/2012 21:20,192,1,1,49.99,19.49
193,5/12/2012 20:44,193,1,1,49.99,19.49
194,5/13/2012 8:21,194,1,1,49.99,19.49
195,5/13/2012 15:56,195,1,1,49.99,19.49
196,5/13/2012 17:04,196,1,1,49.99,19.49
197,5/14/2012 18:33,197,1,1,49.99,19.49
198,5/14/2012 18:51,198,1,1,49.99,19.49
199,5/15/2012 3:20,199,1,1,49.99,19.49
200,5/15/2012 5:20,200,1,1,49.99,19.49
201,5/15/2012 5:28,201,1,1,49.99,19.49
202,5/15/2012 8:13,202,1,1,49.99,19.49
203,5/15/2012 8:56,203,1,1,49.99,19.49
204,5/15/2012 15:06,204,1,1,49.99,19.49
205,5/15/2012 15:29,205,1,1,49.99,19.49
206,5/15/2012 17:26,206,1,1,49.99,19.49
207,5/16/2012 5:07,207,1,1,49.99,19.49
208,5/16/2012 5:33,208,1,1,49.99,19.49
209,5/17/2012 0:34,209,1,1,49.99,19.49
210,5/17/2012 16:23,210,1,1,49.99,19.49
211,5/17/2012 19:33,211,1,1,49.99,19.49
212,5/18/2012 10:29,212,1,1,49.99,19.49
213,5/18/2012 11:38,213,1,1,49.99,19.49
214,5/18/2012 13:43,214,1,1,49.99,19.49
215,5/18/2012 14:24,215,1,1,49.99,19.49
216,5/19/2012 3:45,216,1,1,49.99,19.49
217,5/20/2012 0:54,217,1,1,49.99,19.49
218,5/20/2012 9:53,218,1,1,49.99,19.49
219,5/20/2012 22:54,219,1,1,49.99,19.49
220,5/20/2012 23:15,220,1,1,49.99,19.49
221,5/20/2012 23:36,221,1,1,49.99,19.49
222,5/21/2012 5:26,222,1,1,49.99,19.49
223,5/21/2012 11:52,223,1,1,49.99,19.49
224,5/21/2012 16:48,224,1,1,49.99,19.49
225,5/21/2012 22:15,225,1,1,49.99,19.49
226,5/22/2012 5:15,226,1,1,49.99,19.49
227,5/22/2012 6:15,227,1,1,49.99,19.49
228,5/22/2012 11:40,228,1,1,49.99,19.49
229,5/22/2012 13:00,229,1,1,49.99,19.49
230,5/22/2012 16:53,230,1,1,49.99,19.49
231,5/23/2012 3:29,231,1,1,49.99,19.49
232,5/23/2012 22:13,232,1,1,49.99,19.49
233,5/23/2012 23:24,233,1,1,49.99,19.49
234,5/24/2012 19:34,234,1,1,49.99,19.49
235,5/24/2012 20:47,235,1,1,49.99,19.49
236,5/25/2012 4:56,236,1,1,49.99,19.49
237,5/25/2012 5:03,237,1,1,49.99,19.49
238,5/25/2012 11:32,238,1,1,49.99,19.49
239,5/25/2012 14:34,239,1,1,49.99,19.49
240,5/25/2012 14:47,240,1,1,49.99,19.49
241,5/25/2012 16:22,241,1,1,49.99,19.49
242,5/26/2012 13:48,242,1,1,49.99,19.49
243,5/26/2012 14:12,243,1,1,49.99,19.49
244,5/26/2012 17:15,244,1,1,49.99,19.49
245,5/27/2012 9:35,245,1,1,49.99,19.49
246,5/27/2012 23:20,246,1,1,49.99,19.49
247,5/28/2012 1:00,247,1,1,49.99,19.49
248,5/28/2012 6:32,248,1,1,49.99,19.49
249,5/28/2012 15:16,249,1,1,49.99,19.49
250,5/29/2012 6:08,250,1,1,49.99,19.49
251,5/29/2012 10:25,251,1,1,49.99,19.49
252,5/29/2012 10:28,252,1,1,49.99,19.49
253,5/29/2012 11:52,253,1,1,49.99,19.49
254,5/29/2012 15:26,254,1,1,49.99,19.49
255,5/29/2012 16:36,255,1,1,49.99,19.49
256,5/29/2012 17:05,256,1,1,49.99,19.49
257,5/29/2012 23:52,257,1,1,49.99,19.49
258,5/30/2012 3:09,258,1,1,49.99,19.49
